model,price,link
2013 Harley-Davidson Street Glide,10500.0,https://www.ebay.com/itm/168482120229
2023 HARLEY-DAVIDSON FLFBS,18999.0,https://www.ebay.com/itm/227413875072
1994 Kawasaki KX,5500.0,https://www.ebay.com/itm/168470980425
2004 HARLEY-DAVIDSON FLSTCI,6250.0,https://www.ebay.com/itm/147405018893
1957 Harley-Davidson XLA SPORTSTER,3099.0,https://www.ebay.com/itm/227406596502
1970 Honda CT70,3899.0,https://www.ebay.com/itm/327225569275
2006 Kawasaki Ninja 500R,1900.0,https://www.ebay.com/itm/318503675743
2009 Yamaha FZ1,2990.0,https://www.ebay.com/itm/117263232135
2002 Honda Rebel 250,999.0,https://www.ebay.com/itm/278132591907
1999 BUELL CYCLONE M2,3500.0,https://www.ebay.com/itm/157969542920
1990 Honda VFR750F,3600.0,https://www.ebay.com/itm/227405099211
2007 Ducati Monster 695,2900.0,https://www.ebay.com/itm/127907032614
1972 Motorcycles,6500.0,https://www.ebay.com/itm/117279415942
2005 Motorcycles,5000.0,https://www.ebay.com/itm/198466372325
2007 Harley-Davidson Motorcycles,4000.0,https://www.ebay.com/itm/366481637052
1999 BMW R1100 S,4000.0,https://www.ebay.com/itm/206379440274
1975 Norton Commando,7000.0,https://www.ebay.com/itm/168512249363
1999 BMW R-Series,3995.0,https://www.ebay.com/itm/236865871181
1970 Motorcycles,2750.0,https://www.ebay.com/itm/398107326066
1990 Harley-Davidson Sportster,2200.0,https://www.ebay.com/itm/168504953658
1963 Triumph Trophy,3399.99,https://www.ebay.com/itm/267715272271
1991 Suzuki Motorcycles,4200.0,https://www.ebay.com/itm/117272541380
1991 BMW K100RS,1000.0,https://www.ebay.com/itm/287436205328
1979 Triumph Bonneville 750,3900.0,https://www.ebay.com/itm/278147675742
2002 SUZUKI TL1000 R,4900.0,https://www.ebay.com/itm/147388362901
1997 Motorcycles,999.0,https://www.ebay.com/itm/267717037191
1982 Suzuki DR 500 DR500 Enduro,2750.0,https://www.ebay.com/itm/377307276572
1959 BMW R60,12000.0,https://www.ebay.com/itm/366511187775
1999 Ducati 996,11500.0,https://www.ebay.com/itm/366503552073
1971 Motorcycles,3100.0,https://www.ebay.com/itm/227408478810
1971 Norton 750 Motorcycles,5850.0,https://www.ebay.com/itm/158041643633
1993 Motorcycles,4000.0,https://www.ebay.com/itm/298452614154
1985 Motorcycles,2500.0,https://www.ebay.com/itm/127954203844
1985 Honda CB700 SC,3500.0,https://www.ebay.com/itm/188592941467
1985 Maico RC500,4000.0,https://www.ebay.com/itm/168512497580
1914 custom Boardtrack racer replica,4599.0,https://www.ebay.com/itm/278126054054
1975 Ducati 860 GT,2950.0,https://www.ebay.com/itm/298453029998
1973 Kawasaki F9 350cc Big Horn,2700.0,https://www.ebay.com/itm/206391890124
2007 Honda 600 CD,2500.0,https://www.ebay.com/itm/127932901394
2022 Kawasaki Ninja,5295.0,https://www.ebay.com/itm/147416437862
1928 Scott Flying Squirrel,3950.0,https://www.ebay.com/itm/800225435629
2008 Honda GL1800,9500.0,https://www.ebay.com/itm/198451616637
2001 ATK 605,5000.0,https://www.ebay.com/itm/287429887798
2007 SUZUKI GSX-R750,3000.0,https://www.ebay.com/itm/298464551219
1975 Motorcycles,3800.0,https://www.ebay.com/itm/117247465365
2007 DUCATI SPORTCLASSIC GT 1000 SPORT1000,8000.0,https://www.ebay.com/itm/206384371944
1996 Kawasaki KZ1000 police.,3800.0,https://www.ebay.com/itm/287424607024
1995 HARLEY-DAVIDSON FXDWG,5500.0,https://www.ebay.com/itm/168497145869
1979 Harley-Davidson Motorcycles,5200.0,https://www.ebay.com/itm/800223253577
1990 Harley davidson Electraglide,3500.0,https://www.ebay.com/itm/168509231774
1978 Triumph Bonneville T140V,5450.0,https://www.ebay.com/itm/800247363598
1922 Motorcycles,9500.0,https://www.ebay.com/itm/336665472810
1976 Yamaha RD400,9500.0,https://www.ebay.com/itm/257603543500
1973 Honda CB,2299.99,https://www.ebay.com/itm/257594799901
2001 HARLEY-DAVIDSON FLHTCUI MOTOR TRIKE,8900.0,https://www.ebay.com/itm/257605382930
2023 MV Agusta F3R,15500.0,https://www.ebay.com/itm/257589515358
1992 Yamaha XT600,1975.0,https://www.ebay.com/itm/287425140241
1978 Harley-Davidson FXE,8500.0,https://www.ebay.com/itm/307021136293
2003 HARLEY-DAVIDSON XL883 HUGGER,6000.0,https://www.ebay.com/itm/147398040755
2020 Harley-Davidson Iron 883,7000.0,https://www.ebay.com/itm/227377708799
